,datetime,Lat,Lon
136989,8/14/2014 19:09:00,40.7577,-73.9741
502861,9/18/2014 15:57:00,40.7449,-73.9857
293877,7/2/2014 19:05:00,40.7328,-74.0032
354524,6/14/2014 21:29:00,40.7594,-73.9847
483858,7/23/2014 10:15:00,40.7777,-73.9458
192410,5/18/2014 20:31:00,40.7746,-73.9641
173505,5/16/2014 20:04:00,40.7375,-74.0039
161194,6/16/2014 10:16:00,40.7741,-73.8724
565288,8/27/2014 22:37:00,40.7074,-73.9465
769204,7/29/2014 15:02:00,40.7199,-74.0012
491958,4/23/2014 19:19:00,40.7587,-73.9831
483391,8/20/2014 16:42:00,40.7215,-73.9582
170713,9/17/2014 16:56:00,40.7084,-74.0116
648665,9/30/2014 17:32:00,40.7399,-74.0059
421063,7/17/2014 15:02:00,40.8677,-74.8258
1007270,9/28/2014 0:07:00,40.764,-73.9888
198891,4/29/2014 11:41:00,40.7345,-74.0009
569826,9/23/2014 23:20:00,40.7527,-73.9839
622405,9/28/2014 3:24:00,40.7337,-73.955
107158,6/10/2014 6:55:00,40.7708,-73.9571
550269,5/17/2014 20:04:00,40.7312,-74.01
443105,9/13/2014 18:26:00,40.7643,-73.9224
510640,6/8/2014 17:51:00,40.7282,-73.9885
268498,6/29/2014 21:23:00,40.7325,-74.0064
421514,6/25/2014 18:01:00,40.7521,-73.9907
52607,4/4/2014 16:42:00,40.7723,-73.9629
714423,9/10/2014 12:13:00,40.7596,-73.9852
748763,9/15/2014 9:19:00,40.7454,-73.9947
491087,8/21/2014 8:43:00,40.7725,-73.953
840712,9/29/2014 12:33:00,40.646,-73.7768
250389,5/26/2014 10:55:00,40.6721,-73.7626
281375,8/3/2014 10:15:00,40.8287,-73.9504
987678,9/25/2014 20:41:00,40.765,-73.9767
730031,8/22/2014 4:41:00,40.7694,-73.8799
25695,4/23/2014 21:16:00,40.7589,-73.9878
37752,5/1/2014 7:22:00,40.7884,-73.9752
528516,5/15/2014 15:26:00,40.7881,-73.9681
752897,7/26/2014 16:42:00,40.7093,-74.0057
386326,5/23/2014 18:58:00,40.7448,-73.9765
820314,8/29/2014 8:51:00,40.6884,-73.9794
362840,7/11/2014 22:47:00,40.6888,-73.9853
358907,6/15/2014 20:00:00,40.7742,-73.8711
571755,6/17/2014 18:20:00,40.7198,-74.0004
27662,5/22/2014 21:21:00,40.7596,-73.9917
389283,4/8/2014 18:07:00,40.7448,-73.9858
841050,9/29/2014 14:10:00,40.6877,-74.1815
191476,7/21/2014 16:05:00,40.7136,-74.0103
5246,9/5/2014 13:44:00,40.7446,-73.9858
185288,9/19/2014 8:01:00,40.6922,-73.9867
424122,8/15/2014 4:51:00,40.6878,-74.182
772174,9/18/2014 18:58:00,40.6421,-73.7875
356915,6/15/2014 12:02:00,40.7231,-73.9974
530069,7/26/2014 21:26:00,40.7175,-73.9518
134552,8/14/2014 14:41:00,40.7155,-74.0161
1017473,9/29/2014 15:27:00,40.7215,-73.9975
257629,9/28/2014 13:03:00,40.7502,-73.9947
640037,8/6/2014 10:29:00,40.7582,-73.9625
251118,6/27/2014 15:12:00,40.7293,-73.9781
818361,9/25/2014 20:02:00,40.7711,-73.8663
100692,8/9/2014 18:02:00,40.7564,-73.9727
963431,9/22/2014 6:13:00,40.7441,-73.69
107418,4/15/2014 8:31:00,40.7111,-73.9867
432952,7/18/2014 14:42:00,40.733000000000004,-73.99
606380,7/3/2014 13:14:00,40.7641,-73.9706
203691,5/20/2014 13:59:00,40.7648,-73.9705
